"Borough","Measurement","Postcode","Latitude","Longitude","Address","School.Name","Jan.Ave","Feb.Ave","Mar.Ave","Apr.Ave","May.Ave","Jun.Ave","Jul.Ave","Aug.Ave","Sep.Ave","Oct.Ave","Nov.Ave","Dec.Ave"
"Manhattan","Steam (mlbs)",10006,40.70873,-74.012332,"90 Trinity Pl ","High School for Leadership in Public Services",493.5,422.75,598.25,1213.75,806.67,875.67,875.5,294.75,343.75,584,725.5,583.5
"Manhattan","Total Usage (mmBTUs)",10006,40.70873,-74.012332,"90 Trinity Pl ","High School for Leadership in Public Services",618.95,539,742.87,1435.96,972.42,1044.56,1057.66,406.27,457.84,731.42,883.25,723.19
"Bronx","Electricity Demand (KW)",10452,40.832706,-73.926838,"1020 Anderson Ave ","P.S.73X",138.8,146.8,164,182,183.47,161.07,176.8,160.4,138,141.2,142.8,143.2
"Bronx","Electricity Usage (KWH)",10452,40.832706,-73.926838,"1020 Anderson Ave ","P.S.73X",47760,43560,48320,55400,58080,54400,51760,50040,47840,50920,46440,47440
"Bronx","Gas (Therms)",10452,40.832706,-73.926838,"1020 Anderson Ave ","P.S.73X",1174.75,667.25,391.5,261.5,179.33,97.33,199,386.25,746.75,1581.75,1661.25,1295
"Bronx","Total Usage (mmBTUs)",10452,40.832706,-73.926838,"1020 Anderson Ave ","P.S.73X",280.48,215.4,204.06,215.23,216.16,195.4,196.55,209.41,237.95,331.97,324.62,291.41
"Bronx","Electricity Demand (KW)",10468,40.859752,-73.900161,"120 East 184th St ","Middle School 399",211.03,211.05,223.5,218.5,202,191.33,215,221.5,221.5,214.5,214.5,210.03
"Brooklyn","Gas (Therms)",11223,40.601433,-73.986139,"1855 Stillwell Ave ","The Highlawn School",172.5,91,127.75,55.25,119.33,34,101.25,47.25,103.5,58,219,63
"Bronx","Electricity Usage (KWH)",10468,40.859752,-73.900161,"120 East 184th St ","Middle School 399",70590,70080,87270,81090,57240,65920,68880,77490,73680,78270,72870,72690
"Bronx","Gas (Therms)",10468,40.859752,-73.900161,"120 East 184th St ","Middle School 399",4723.75,4115.75,1554,1110.25,615,594,816.25,2284.75,3366.5,3370.5,3140,5327.5
"Bronx","Gas Cost ($)",10468,40.859752,-73.900161,"120 East 184th St ","Middle School 399",5505.67,4406.27,1814.29,1216.85,769.52,743.45,1047.28,2776.58,3943.39,3948.6,3542.29,6221.88
"Bronx","Total Usage (mmBTUs)",10468,40.859752,-73.900161,"120 East 184th St ","Middle School 399",713.3,650.75,453.25,387.78,256.86,284.38,316.71,492.95,588.12,604.18,562.7,780.84
"Bronx","Electricity Demand (KW)",10458,40.860043,-73.888267,"500 East Fordham Rd ","Theodore Roosevelt High School",398,396,420,466,373.33,301.33,432,442,412,408,402,402
"Bronx","Electricity Usage (KWH)",10458,40.860043,-73.888267,"500 East Fordham Rd ","Theodore Roosevelt High School",143400,134200,145400,161400,138400,121866.67,148600,161800,162000,173800,163400,149800
"Bronx","Gas (Therms)",10458,40.860043,-73.888267,"500 East Fordham Rd ","Theodore Roosevelt High School",229.5,192.25,256.5,204,100.33,75.67,173.75,241.75,244.25,262.25,214,196
"Bronx","Total Usage (mmBTUs)",10458,40.860043,-73.888267,"500 East Fordham Rd ","Theodore Roosevelt High School",512.37,477.24,521.9,571.25,482.39,423.5,524.54,576.39,577.33,619.4,579.08,530.86
"Bronx","Electricity Demand (KW)",10464,40.843873,-73.785219,"200 City Island Ave ","The City Island School",151.4,177.4,209.2,249.4,238.93,197.07,231.4,221.6,165,169,168.4,160.2
"Bronx","Electricity Usage (KWH)",10464,40.843873,-73.785219,"200 City Island Ave ","The City Island School",48460,45160,52900,70620,62213.33,52320,68000,52920,52520,60900,56720,53340
"Bronx","Gas (Therms)",10464,40.843873,-73.785219,"200 City Island Ave ","The City Island School",1.25,0.25,0.5,0.25,0,0,0.5,0.25,0.75,0.75,1.25,0.5
