"Borough","Measurement","Postcode","Latitude","Longitude","Address","School.Name","Jan.Ave","Feb.Ave","Mar.Ave","Apr.Ave","May.Ave","Jun.Ave","Jul.Ave","Aug.Ave","Sep.Ave","Oct.Ave","Nov.Ave","Dec.Ave"
"Queens","Gas (Therms)",11426,40.745948,-73.727456,"74-30 Commonwealth Blvd ","P.S.208Q",5262,1418.5,499.5,428,317,300.33,394.25,459.5,3137.75,7672.75,9894,9016.75
"Queens","Total Usage (mmBTUs)",11426,40.745948,-73.727456,"74-30 Commonwealth Blvd ","P.S.208Q",975.01,536.05,565.99,754.06,786.65,788.17,626.46,516.94,706.95,1265.23,1535.82,1437.51
"Staten Island","Electricity Demand (KW)",10301,40.608517,-74.102078,"715 Ocean Ter ","The Michael J. Petrides School",710.85,671.21,675.01,1037.59,985.71,998.56,1065.89,875.02,714.8,735.68,712.37,727.11
"Staten Island","Electricity Usage (KWH)",10301,40.608517,-74.102078,"715 Ocean Ter ","The Michael J. Petrides School",366770,252290,239000,335230,355226.67,345560,319235,255005,304545,416205,394250,393505
"Staten Island","Gas (Therms)",10301,40.608517,-74.102078,"715 Ocean Ter ","The Michael J. Petrides School",32261.75,13853.5,3846.75,6600.5,9290.33,12089.67,6834,4682,17813,42419.75,48947.5,44958.75
"Staten Island","Total Usage (mmBTUs)",10301,40.608517,-74.102078,"715 Ocean Ter ","The Michael J. Petrides School",4477.95,2246.41,1200.38,1804.18,2141.41,2388.35,1772.94,1338.53,2820.7,5662.47,6240.31,5838.9
"Bronx","Electricity Demand (KW)",10472,40.831601,-73.878912,"1300 Boynton Ave ","James Monroe High School",709.24,718.64,730.24,880.4,1009.76,947.47,861.48,844.52,808.52,788,711.92,688.72
"Bronx","Electricity Usage (KWH)",10472,40.831601,-73.878912,"1300 Boynton Ave ","James Monroe High School",281500,251300,262700,324300,411733.33,391200,324400,298200,299600,342200,288000,262200
"Bronx","Gas (Therms)",10472,40.831601,-73.878912,"1300 Boynton Ave ","James Monroe High School",5984.75,4294.25,1697.5,802.25,381.33,473.67,2069.5,2919,5685,7279.5,7315.25,7555.75
"Bronx","Gas Cost ($)",10472,40.831601,-73.878912,"1300 Boynton Ave ","James Monroe High School",7345.89,5009.04,1951.87,915.4,518.57,650.07,2568.1,3611.14,6906.23,8740.82,8544.05,9045.89
"Bronx","Total Usage (mmBTUs)",10472,40.831601,-73.878912,"1300 Boynton Ave ","James Monroe High School",1559.23,1287.11,1066.34,1187.05,1443.37,1382.52,1314.12,1309.65,1591.03,1895.87,1714.46,1650.45
"Bronx","Electricity Demand (KW)",10460,40.836356,-73.888361,"1716 Southern Blvd ","MS / High School 270",304,349,360,391,389.33,378.67,373,372,337,297,300,284
"Bronx","Electricity Usage (KWH)",10460,40.836356,-73.888361,"1716 Southern Blvd ","MS / High School 270",122100,116400,126800,138300,166933.33,169733.33,146500,127900,117700,137500,128900,126800
"Bronx","Gas (Therms)",10460,40.836356,-73.888361,"1716 Southern Blvd ","MS / High School 270",1372.5,813.5,518,393.5,335.33,323,631.75,480.25,597,2738.75,3140,3066.75
"Bronx","Total Usage (mmBTUs)",10460,40.836356,-73.888361,"1716 Southern Blvd ","MS / High School 270",553.98,478.62,484.56,511.36,603.27,611.59,563.18,484.54,461.41,743.16,753.93,739.44
